effective_rank,participation_ratio,mle_id_k20,bio_vs_nonbio_cos_top10,model,layer_idx,bootstrap,seed,n_items,frames_per_item
163.04721486688453,77.39152193629937,5.417725644276241,0.773005745783964,eat_all,4,24,24046,600,50
162.87775691699642,77.22840812063836,4.921056699023371,0.8019572050432029,eat_all,4,25,25046,600,50
161.87990143108007,77.11418841838079,5.062891628088745,0.7993861555865444,eat_all,4,26,26046,600,50
162.3181909009588,77.3757230292325,5.310244524528709,0.816847280167323,eat_all,4,27,27046,600,50
163.12369496963817,77.71162443648743,4.398339017180575,0.7911110009623961,eat_all,4,28,28046,600,50
164.657391399084,78.66206151520251,4.813456498585001,0.7697148692658873,eat_all,4,29,29046,600,50
162.64154052101432,77.54260085513799,6.1369070112177635,0.8205794362760257,eat_all,4,30,30046,600,50
164.5146908624011,78.43093729679782,5.840341479118524,0.7849799031227926,eat_all,4,31,31046,600,50
163.7870026535326,77.64582608505373,5.1943358045907555,0.8101501714362757,eat_all,4,32,32046,600,50
166.00326839808957,79.27484467785628,4.724185659263682,0.7900205241068113,eat_all,4,33,33046,600,50
163.93548485445797,78.0344549354903,5.43389879065309,0.7794841122137962,eat_all,4,34,34046,600,50
165.07790132048183,78.75219984305868,4.170868009038457,0.7884022284899178,eat_all,4,35,35046,600,50
163.27613443613848,77.47421815475134,6.152262718520668,0.7975062534592976,eat_all,4,36,36046,600,50
162.95538435685697,77.45892727736484,4.410386123648649,0.7668836854361267,eat_all,4,37,37046,600,50
162.8131828632689,77.1680589891923,5.169723790049308,0.7922063155035018,eat_all,4,38,38046,600,50
163.62121272102175,77.55896204319106,4.678756210494077,0.8246510651826376,eat_all,4,39,39046,600,50
164.64856134430082,78.25022488704188,5.0351925866911635,0.7798656760326926,eat_all,4,40,40046,600,50
163.20665936847678,77.81467243808984,4.6659187049047395,0.7960410273099503,eat_all,4,41,41046,600,50
164.03062837099296,78.29611663057028,5.04208193449889,0.7900007230176536,eat_all,4,42,42046,600,50
165.20965687115262,78.76829436228049,5.474720736741757,0.8172314687621846,eat_all,4,43,43046,600,50
165.61528391163105,78.78781057163647,5.98142044369321,0.823684190671653,eat_all,4,44,44046,600,50
163.53124790352922,77.7410641918606,4.661679990182178,0.8415872072738096,eat_all,4,45,45046,600,50
163.89721335233213,78.2552733652216,5.419240985423028,0.759103762587628,eat_all,4,46,46046,600,50
165.1404404266457,78.78442597590806,5.833800587965866,0.8212511508212558,eat_all,4,47,47046,600,50
163.69348780198615,78.02968400109697,4.388993205992657,0.7622163437243336,eat_all,4,48,48046,600,50
165.91218625032025,78.72440356071665,5.291189643000596,0.800251134608939,eat_all,4,49,49046,600,50
192.93767323783587,84.93504633118921,4.795967718747236,0.7908634007503762,eat_all,5,0,47,600,50
190.82824565539354,84.2891701951276,5.896815918813796,0.8025427607334471,eat_all,5,1,1047,600,50
189.575220311594,83.4249284524714,5.628212467102321,0.78051565717969,eat_all,5,2,2047,600,50
195.1447313820679,86.98918027809418,4.616429346313744,0.8135163625097928,eat_all,5,3,3047,600,50
190.72980626713522,83.99819255866737,4.7603687107880654,0.8194281158247287,eat_all,5,4,4047,600,50
191.74517245624077,84.90150630506999,4.4750039358042635,0.7981549240841479,eat_all,5,5,5047,600,50
190.03515001341492,83.66194294296983,4.344948819573253,0.7956933462042216,eat_all,5,6,6047,600,50
192.28998671688805,85.21744496007621,4.79934951021819,0.8122166924486984,eat_all,5,7,7047,600,50
191.90290427322955,84.61995215491555,5.0977345246818855,0.8171263024470287,eat_all,5,8,8047,600,50
194.53425935150375,86.16357040575204,5.324765635585513,0.816603176179712,eat_all,5,9,9047,600,50
191.78339239026866,84.88557320257748,5.364130374955552,0.8119614224299566,eat_all,5,10,10047,600,50
191.2586039039179,84.47294236497306,4.442494265706351,0.8068550757442475,eat_all,5,11,11047,600,50
191.98852723267237,85.43461243963078,4.580601975859688,0.7921539169971257,eat_all,5,12,12047,600,50
191.27544715172007,85.03358631019898,4.643950436133899,0.8123955588191893,eat_all,5,13,13047,600,50
189.02627710494866,83.50660462209812,4.260994788524834,0.7978954098618586,eat_all,5,14,14047,600,50
192.54513962938248,85.11111139440472,3.9117323483652133,0.7907644055706318,eat_all,5,15,15047,600,50
192.99827886816382,85.17589652057138,4.467805504947568,0.8185167760903027,eat_all,5,16,16047,600,50
192.3171573732952,85.14902222934379,4.076721927522869,0.8237203709166241,eat_all,5,17,17047,600,50
191.58736115796293,84.9440395445032,5.539056057749579,0.8120628780082109,eat_all,5,18,18047,600,50
191.1834498721765,84.69596292880404,5.208034700897534,0.81427886264814,eat_all,5,19,19047,600,50
191.86509246570643,84.91683648969219,4.5586275690411275,0.7961045146530459,eat_all,5,20,20047,600,50
190.77063746852608,84.21149289386997,4.264845500575239,0.854672402812213,eat_all,5,21,21047,600,50
192.99972549217304,85.1372052542992,4.590400201240453,0.8418430960603536,eat_all,5,22,22047,600,50
193.59563058881665,85.55890868893988,4.822698195758422,0.8024093979241487,eat_all,5,23,23047,600,50
189.87288712960282,83.4900931166585,5.191754847754856,0.8043795908679552,eat_all,5,24,24047,600,50
194.21408760450467,86.20515900594918,4.792817430088121,0.8171764247669822,eat_all,5,25,25047,600,50
191.32854496313934,84.42430395678804,4.331344334398802,0.8039931299134331,eat_all,5,26,26047,600,50
