model,layer_idx,class,species,n_clips,within_var,centroid_norm
eat_all,8,Aves,Erithacus rubecula,6,56.076330128489474,4.2811570037193185
eat_all,8,Aves,Turdus merula,10,59.26050271895558,4.097858058608171
eat_all,8,Aves,Anthus trivialis,5,59.91722853979726,4.078685052778612
eat_all,8,Mammalia,Globicephala macrorhynchus,7,57.11017761855755,4.274737879461949
eat_all,8,Mammalia,Delphinus delphis,8,56.8534137418933,4.4161008009243155
eat_all,8,Mammalia,Balaenoptera physalus,8,56.89314489424274,4.844197281671452
eat_all,8,Mammalia,Megaptera novaeangliae,8,60.30455408126951,4.1595820983043135
eat_all,8,Mammalia,Orcinus orca,18,59.62839188216107,4.087961335019525
eat_all,8,Mammalia,Lagenorhynchus acutus,6,53.27479762110428,4.569157748838055
eat_all,8,Mammalia,Stenella coeruleoalba,5,56.41670345459813,4.586840921412961
eat_all,9,Aves,Parus major,6,40.71745502327959,3.5139093019530536
eat_all,9,Aves,Fringilla coelebs,14,40.80611901753903,3.4677255427848523
eat_all,9,Aves,Erithacus rubecula,6,39.4230540981461,3.588933109466673
eat_all,9,Aves,Turdus merula,10,40.66479385064851,3.5372788556764414
eat_all,9,Aves,Anthus trivialis,5,40.49698126225639,3.647569889600405
eat_all,9,Mammalia,Globicephala macrorhynchus,7,38.76862194125362,3.7851836175396976
eat_all,9,Mammalia,Delphinus delphis,8,39.608862734484184,3.770345643346488
eat_all,9,Mammalia,Balaenoptera physalus,8,36.617242000586195,4.292761805809685
eat_all,9,Mammalia,Megaptera novaeangliae,8,41.042249938401746,3.609472224485189
eat_all,9,Mammalia,Orcinus orca,18,40.869149598288686,3.550198796261262
eat_all,9,Mammalia,Lagenorhynchus acutus,6,36.95768707090344,4.014863412256106
eat_all,9,Mammalia,Stenella coeruleoalba,5,38.17171899947331,3.9863098677133464
eat_all,10,Aves,Parus major,6,25.857728867523498,2.6571042899116577
eat_all,10,Aves,Fringilla coelebs,14,25.86541042392011,2.6181904412099195
eat_all,10,Aves,Erithacus rubecula,6,24.85481360390482,2.7509541994064484
eat_all,10,Aves,Turdus merula,10,25.6418111542027,2.651681987404
eat_all,10,Aves,Anthus trivialis,5,25.725320924993465,2.7122919078631735
eat_all,10,Mammalia,Globicephala macrorhynchus,7,24.632407248391683,2.8869034570408676
eat_all,10,Mammalia,Delphinus delphis,8,24.37864671620084,2.968428019231395
eat_all,10,Mammalia,Balaenoptera physalus,8,23.0812520212506,3.168384807540428
eat_all,10,Mammalia,Megaptera novaeangliae,8,25.549293936774475,2.739576491458653
eat_all,10,Mammalia,Orcinus orca,18,25.290249630724382,2.728003775696424
eat_all,10,Mammalia,Lagenorhynchus acutus,6,22.96205444599187,3.172863879821901
eat_all,10,Mammalia,Stenella coeruleoalba,5,23.461646634849668,3.149875824994836
eat_all,11,Aves,Parus major,6,33.63972815314018,2.8878299412749078
eat_all,11,Aves,Fringilla coelebs,14,33.55134362192764,2.8638445643659463
eat_all,11,Aves,Erithacus rubecula,6,32.47799231834454,2.9936097732727784
eat_all,11,Aves,Turdus merula,10,33.3134442818735,2.911779181962797
eat_all,11,Aves,Anthus trivialis,5,33.437960013235326,2.924200396472162
eat_all,11,Mammalia,Globicephala macrorhynchus,7,30.956806015291523,3.2617503478108105
eat_all,11,Mammalia,Delphinus delphis,8,31.237633491136492,3.2839163826326043
eat_all,11,Mammalia,Balaenoptera physalus,8,30.24908526396839,3.4308601906274436
eat_all,11,Mammalia,Megaptera novaeangliae,8,32.956696350237046,2.9847368047961584
eat_all,11,Mammalia,Orcinus orca,18,32.00510212542336,3.07681164001537
eat_all,11,Mammalia,Lagenorhynchus acutus,6,29.407236029804576,3.5127737898387843
eat_all,11,Mammalia,Stenella coeruleoalba,5,30.514585960685324,3.4253424345296795
eat_all,12,Aves,Parus major,6,18.35177013728921,5.610645501003371
eat_all,12,Aves,Fringilla coelebs,14,18.003144449275396,5.480493224898503
eat_all,12,Aves,Erithacus rubecula,6,16.327023086863285,5.161982399925396
eat_all,12,Aves,Turdus merula,10,17.379557220421525,5.428624779639615
eat_all,12,Aves,Anthus trivialis,5,20.36824484484327,5.735698252559838
eat_all,12,Mammalia,Globicephala macrorhynchus,7,15.64801683929123,4.335989337867022
eat_all,12,Mammalia,Delphinus delphis,8,15.288736605595243,4.404710158468256
eat_all,12,Mammalia,Balaenoptera physalus,8,14.566172220020075,4.569843731444176
eat_all,12,Mammalia,Megaptera novaeangliae,8,17.16447122907415,4.64702106140943
eat_all,12,Mammalia,Orcinus orca,18,15.106110665409028,4.31397533360733
eat_all,12,Mammalia,Lagenorhynchus acutus,6,14.635743406690521,4.439475605365397
eat_all,12,Mammalia,Stenella coeruleoalba,5,15.632727697505606,4.576962663957329
eat_bio,0,Aves,Parus major,6,0.2605176797741444,0.1950023192761505
eat_bio,0,Aves,Fringilla coelebs,14,0.2514997855867531,0.19669616239582602
eat_bio,0,Aves,Erithacus rubecula,6,0.22559110599207705,0.2089796182271532
eat_bio,0,Aves,Turdus merula,10,0.24999696773602825,0.2096043252459513
eat_bio,0,Aves,Anthus trivialis,5,0.28592646942343813,0.211171260234432
eat_bio,0,Mammalia,Globicephala macrorhynchus,7,0.23370051828460947,0.24701587402249406
eat_bio,0,Mammalia,Delphinus delphis,8,0.24430857139194306,0.2494499991899632
eat_bio,0,Mammalia,Balaenoptera physalus,8,0.3084940738529559,0.3177042350516375
eat_bio,0,Mammalia,Megaptera novaeangliae,8,0.24379518776646553,0.22889175584712704
eat_bio,0,Mammalia,Orcinus orca,18,0.2517571696187631,0.2582505877718739
eat_bio,0,Mammalia,Lagenorhynchus acutus,6,0.22693009458479652,0.2534951748830779
eat_bio,0,Mammalia,Stenella coeruleoalba,5,0.21979148175655114,0.25895537068840413
eat_bio,1,Aves,Parus major,6,5.628873198266956,0.7949785595782858
eat_bio,1,Aves,Fringilla coelebs,14,5.599231817259603,0.8021181007482608
eat_bio,1,Aves,Erithacus rubecula,6,5.106906779067864,0.8741526569872159
eat_bio,1,Aves,Turdus merula,10,5.513458738344726,0.8335819626373494
eat_bio,1,Aves,Anthus trivialis,5,6.14514955989421,0.8432777580146932
eat_bio,1,Mammalia,Globicephala macrorhynchus,7,4.645253293795773,1.128272276412627
eat_bio,1,Mammalia,Delphinus delphis,8,5.027123069143403,1.096678521591019
eat_bio,1,Mammalia,Balaenoptera physalus,8,5.388459728780021,1.4597910352851655
eat_bio,1,Mammalia,Megaptera novaeangliae,8,5.050327659053003,1.0099279090028848
eat_bio,1,Mammalia,Orcinus orca,18,4.764069534879474,1.3687393078189998
eat_bio,1,Mammalia,Lagenorhynchus acutus,6,4.169970482888296,1.3389873834277688
eat_bio,1,Mammalia,Stenella coeruleoalba,5,4.249103493905672,1.2625643363311987
eat_bio,2,Aves,Parus major,6,23.459011754868648,1.746985317615678
eat_bio,2,Aves,Fringilla coelebs,14,23.38562921488495,1.7535236451976859
eat_bio,2,Aves,Erithacus rubecula,6,22.804077870011284,1.8903241600931784
eat_bio,2,Aves,Turdus merula,10,23.40795034178416,1.7660624800177471
