model,layer_idx,class,n_species,between_var,mean_within_var,separability_ratio
sl_eat_bio_ssl_all,9,Mammalia,15,10.773710586330033,42.23448306137611,0.203246136963889
sl_eat_bio_ssl_all,10,Aves,13,2.579688457598432,27.473204692865515,0.08583827336299592
sl_eat_bio_ssl_all,10,Mammalia,15,6.302109235923026,25.234438608211516,0.19983510138999408
sl_eat_bio_ssl_all,11,Aves,13,1.7775362070328433,25.746754355686264,0.06458063661922198
sl_eat_bio_ssl_all,11,Mammalia,15,5.186578105112341,23.63446622797922,0.17995802113101256
sl_eat_bio_ssl_all,12,Aves,13,17.758032853904805,190.1368038204782,0.08541834486114953
sl_eat_bio_ssl_all,12,Mammalia,15,55.83958530278847,212.5031056200706,0.20809057668293549
random_init_eat_seed42,0,Aves,13,22.849181000768283,485.1770552214329,0.04497637990250267
random_init_eat_seed42,0,Mammalia,15,86.91957837826074,620.6950567588339,0.12283462503770964
random_init_eat_seed42,1,Aves,13,28.844211106029665,483.2050090800215,0.05633093454482603
random_init_eat_seed42,1,Mammalia,15,98.46152012708575,583.9894264402435,0.14427633315235167
random_init_eat_seed42,2,Aves,13,30.45509778380047,478.86478116574887,0.05979561969309507
random_init_eat_seed42,2,Mammalia,15,104.90519443588202,552.9723611816124,0.1594600599155816
random_init_eat_seed42,3,Aves,13,35.36803279844932,488.9993446713393,0.06744895719697408
random_init_eat_seed42,3,Mammalia,15,114.55120870106535,523.6982150172397,0.1794771831264875
random_init_eat_seed42,4,Aves,13,35.68445261421693,483.195348393366,0.06877209817172172
random_init_eat_seed42,4,Mammalia,15,124.24960504027129,486.70274453980636,0.20337036943334624
random_init_eat_seed42,5,Aves,13,40.04818919296114,473.8625548527849,0.07792829719356135
random_init_eat_seed42,5,Mammalia,15,135.12937279355998,456.0524789407393,0.22857496791747342
random_init_eat_seed42,6,Aves,13,43.253089182973866,471.4324328230189,0.08403789757752356
random_init_eat_seed42,6,Mammalia,15,140.54384965338488,430.744802278914,0.24601197516879816
random_init_eat_seed42,7,Aves,13,45.555131736595676,478.9319099385656,0.08685654385491959
random_init_eat_seed42,7,Mammalia,15,147.8929133579073,403.09464348667797,0.26841425277344844
random_init_eat_seed42,8,Aves,13,47.39403295521416,471.2593822272452,0.09137900487658256
random_init_eat_seed42,8,Mammalia,15,151.64489442872429,374.47500114251767,0.28823257912357364
random_init_eat_seed42,9,Aves,13,50.662092899936674,464.62181748310456,0.09831879451131421
random_init_eat_seed42,9,Mammalia,15,158.5654158182382,350.90590659399805,0.31123521352971417
random_init_eat_seed42,10,Aves,13,52.97532187365971,464.8678620396062,0.10229993078856978
random_init_eat_seed42,10,Mammalia,15,159.82608391181196,331.9137545823587,0.325021630139301
random_init_eat_seed42,11,Aves,13,55.09937382209742,459.28754982282175,0.10711659120660785
random_init_eat_seed42,11,Mammalia,15,167.004172753452,306.08810863670783,0.35300549030882084
random_init_eat_seed42,12,Aves,13,58.32631215224345,461.63544370747053,0.11217423492196209
random_init_eat_seed42,12,Mammalia,15,169.9075398883103,290.8525885823211,0.3687548669896252
