model,layer_idx,class,species,n_clips,within_var,centroid_norm
eat_all,8,Aves,Calidris alpina,5,58.76422924623554,4.077137320672867
eat_all,8,Aves,Aegolius funereus,5,58.695295243712394,4.091901043831748
eat_all,8,Aves,Strix aluco,7,58.357518685167534,4.143857578117386
eat_all,8,Aves,Tyto alba,5,58.51382274479114,4.092309862368972
eat_all,8,Aves,Bubo virginianus,5,56.53927334500618,4.284025132031871
eat_all,8,Aves,Strix varia,6,57.490710969316645,4.17691590908574
eat_all,8,Mammalia,Delphinus delphis,9,58.017128729114184,4.262033786776698
eat_all,8,Mammalia,Globicephala melaena,8,53.839998543356266,4.64289916251595
eat_all,8,Mammalia,Stenella attenuata,6,60.10945818620414,4.174429196879878
eat_all,8,Mammalia,Sciurus carolinensis,7,58.70979478643214,4.121988737288803
eat_all,8,Mammalia,Stenella coeruleoalba,5,56.186708777750376,4.599378204040997
eat_all,8,Mammalia,Orcinus orca,28,60.10044896350061,4.046911114696952
eat_all,8,Mammalia,Pseudorca crassidens,8,58.6243441708641,4.2668798991213865
eat_all,8,Mammalia,Eubalaena glacialis,7,58.960802195075814,4.348646278817792
eat_all,8,Mammalia,Lagenorhynchus acutus,7,54.327487513757575,4.47025590690015
eat_all,8,Mammalia,Megaptera novaeangliae,10,59.94045359932671,4.238697058410432
eat_all,8,Mammalia,Globicephala macrorhynchus,9,57.54552101458157,4.235900142975643
eat_all,8,Mammalia,Canis latrans,6,57.79602036360805,4.238233372519925
eat_all,8,Mammalia,Physeter catodon,8,53.005972343073424,4.63477245522879
eat_all,8,Mammalia,Balaenoptera physalus,12,55.71455210286782,4.9692525404184185
eat_all,8,Mammalia,Erignathus barbatus,7,57.952061448840325,4.485929795014246
eat_all,9,Aves,Colaptes auratus,6,41.0318463074728,3.4513124297007662
eat_all,9,Aves,Picus viridis,5,40.762028627415454,3.5037354076271137
eat_all,9,Aves,Dendrocopos major,11,41.27159966204093,3.437380439862648
eat_all,9,Aves,Sterna paradisaea,5,42.38514391386259,3.3655843809537065
eat_all,9,Aves,Dryobates pubescens,5,41.243528402725154,3.4100166276665065
eat_all,9,Aves,Athene noctua,7,41.47112336259562,3.418479762599593
eat_all,9,Aves,Strix uralensis,5,35.154538313246725,4.023658579784384
eat_all,9,Aves,Calidris alpina,5,41.24004130286443,3.4536611142362856
eat_all,9,Aves,Aegolius funereus,5,40.922537211232324,3.496421065605174
eat_all,9,Aves,Strix aluco,7,39.96365383866312,3.5437944987571965
eat_all,9,Aves,Tyto alba,5,39.91819215172356,3.582603489898668
eat_all,9,Aves,Bubo virginianus,5,39.49271570747861,3.614893743598926
eat_all,9,Aves,Strix varia,6,40.352852274346006,3.4756595159433177
eat_all,9,Mammalia,Delphinus delphis,9,40.0493251603513,3.679464001669791
eat_all,9,Mammalia,Globicephala melaena,8,35.99881094435694,4.121278267091751
eat_all,9,Mammalia,Stenella attenuata,6,39.73129122424361,3.7918016199973357
eat_all,9,Mammalia,Sciurus carolinensis,7,40.28600850077457,3.5255753073673333
eat_all,9,Mammalia,Stenella coeruleoalba,5,38.10446022815553,4.021860112589173
eat_all,9,Mammalia,Orcinus orca,28,41.184638997115805,3.5335060564912406
eat_all,9,Mammalia,Pseudorca crassidens,8,39.34969383543503,3.8283111691443437
eat_all,9,Mammalia,Eubalaena glacialis,7,40.476326945727855,3.7277552790129658
eat_all,9,Mammalia,Lagenorhynchus acutus,7,38.25829417488291,3.84826936042287
eat_all,9,Mammalia,Megaptera novaeangliae,10,40.90181352662896,3.6381557235438566
eat_all,9,Mammalia,Globicephala macrorhynchus,9,39.45213862764337,3.7333301956379117
eat_all,9,Mammalia,Canis latrans,6,39.533967723429356,3.6284396795515876
eat_all,9,Mammalia,Physeter catodon,8,36.92755632697009,4.047641462302419
eat_all,9,Mammalia,Balaenoptera physalus,12,36.55341743135613,4.296271808450483
eat_all,9,Mammalia,Erignathus barbatus,7,38.59609963843774,3.972945669373775
eat_all,10,Aves,Colaptes auratus,6,25.82306356712367,2.623030600483563
eat_all,10,Aves,Picus viridis,5,25.654388845739806,2.6287017989204395
eat_all,10,Aves,Dendrocopos major,11,26.072623707135076,2.559716509706109
eat_all,10,Aves,Sterna paradisaea,5,26.388142633319944,2.5352212505261753
eat_all,10,Aves,Dryobates pubescens,5,25.95120030650929,2.59072168380127
eat_all,10,Aves,Athene noctua,7,26.367994987359687,2.534783393299409
eat_all,10,Aves,Strix uralensis,5,23.24631202916562,3.0282557684336227
