model,layer_idx,bootstrap,top1_share,top1_vs_bioaxis_abs_cos,cohens_d_top1,cohens_d_bioaxis
sl_eat_bio_ssl_all,12,16,0.0828577038697915,0.01890039043937261,0.029155927227503948,2.743871049304951
sl_eat_bio_ssl_all,12,17,0.0821013506988432,0.07483482274202183,0.11791251055371098,3.0247013316202556
sl_eat_bio_ssl_all,12,18,0.08023271530144423,0.017727427088070687,0.028070539372955578,2.743588357384039
sl_eat_bio_ssl_all,12,19,0.08302551221491042,0.018122756190794106,0.02698110387476623,2.6214333750093775
sl_eat_bio_ssl_all,12,20,0.08169035033374678,0.03368960871254504,-0.051445107872132675,2.926235670734704
sl_eat_bio_ssl_all,12,21,0.08127507614734568,0.03826194498173177,0.061205988357659294,2.830349769639986
sl_eat_bio_ssl_all,12,22,0.08181848802332756,0.01302856492245652,-0.01981525245469662,2.826737632376707
sl_eat_bio_ssl_all,12,23,0.08188931671989526,0.04202196194478423,0.06131545876701404,2.9300016248671197
sl_eat_bio_ssl_all,12,24,0.08432605366527691,0.03634874637135238,0.055428093465912334,3.2260365000703737
sl_eat_bio_ssl_all,12,25,0.08110317462384938,0.023751972633869342,0.03703569015698335,2.8786652951911553
sl_eat_bio_ssl_all,12,26,0.08355257740060026,0.037672873084646404,-0.05704150943482629,3.069898089100731
sl_eat_bio_ssl_all,12,27,0.0817284046570256,0.08791398350846664,0.14024384333959178,3.041745066118557
sl_eat_bio_ssl_all,12,28,0.08179698610727137,0.005898354426312424,-0.008974364008492578,2.9142762805947444
sl_eat_bio_ssl_all,12,29,0.08200175236467369,0.017527344699703754,-0.025394116160588218,2.76632342271078
random_init_eat_seed42,12,0,0.5653870064304493,0.148249261474393,-0.025229934071851763,0.48675336669713726
random_init_eat_seed42,12,1,0.5666103593633404,0.18919037102900743,0.036620123211190375,0.5313951008067782
random_init_eat_seed42,12,2,0.5699098985874262,0.17335050871560348,-0.020933812140566676,0.40219512911999467
random_init_eat_seed42,12,3,0.5510690608406474,0.7331010266489634,-0.11543203409100693,0.22037918098276627
random_init_eat_seed42,12,4,0.5496377840158471,0.24641243195403306,0.04797288662638081,0.39851284686732236
random_init_eat_seed42,12,5,0.5599823018117059,0.4751378840983223,0.08306751868794747,0.2722098418853103
random_init_eat_seed42,12,6,0.5556302796946825,0.24171496709883983,-0.03824354399785487,0.4094049588412496
random_init_eat_seed42,12,7,0.5724863781377006,0.03931264022191711,0.00857069095262827,0.590713542905614
random_init_eat_seed42,12,8,0.5528584488884332,0.290258249960215,0.06990269697185159,0.44618544238689334
random_init_eat_seed42,12,9,0.5509565171802814,0.2258184678221224,0.05966025860408786,0.5098120318688911
random_init_eat_seed42,12,10,0.550582882770643,0.23466868007728514,-0.03596042943061264,0.4011348603097278
random_init_eat_seed42,12,11,0.5729829036544198,0.6337552357013154,0.12278444034712731,0.2622818354643699
random_init_eat_seed42,12,12,0.5749816059977608,0.5943199949806811,0.1248343089024634,0.29140947357239555
random_init_eat_seed42,12,13,0.5588848462263377,0.27877392806401613,-0.05518849575178679,0.5186844609139095
random_init_eat_seed42,12,14,0.5778349650640354,0.23429167613141277,0.035510409937700216,0.40338288078582246
random_init_eat_seed42,12,15,0.5544333899098456,0.1143884729242865,-0.024851558238686337,0.5915241160567003
random_init_eat_seed42,12,16,0.5455201487084863,0.7534453868335163,0.24596274708888402,0.38172549935091826
random_init_eat_seed42,12,17,0.5754957346586738,0.5722443298911307,0.12012129881238377,0.3027780434478793
random_init_eat_seed42,12,18,0.5634067846229132,0.08480668485603193,-0.01102044971878059,0.5142013579564761
random_init_eat_seed42,12,19,0.5593513986292858,0.27964866799282084,-0.04405711995741614,0.4016066417356098
random_init_eat_seed42,12,20,0.5699877426775561,0.517074056479331,-0.11332375081856115,0.4177599764205648
random_init_eat_seed42,12,21,0.5678610289777933,0.45282353829843,-0.0936503722573989,0.43710912437856275
random_init_eat_seed42,12,22,0.5644315425777939,0.03538692207581026,0.006884788860382348,0.5234901614818089
random_init_eat_seed42,12,23,0.5616639883543887,0.7947700134618675,0.2505702743910797,0.36379547265824613
random_init_eat_seed42,12,24,0.549622311131053,0.4041522423211367,0.1031607765938539,0.42863181191122113
random_init_eat_seed42,12,25,0.5728852398351143,0.12383527456830984,0.02117306905467962,0.41785648696381095
random_init_eat_seed42,12,26,0.5668887439822248,0.13708010504232565,-0.019905494135020272,0.4618587332632575
random_init_eat_seed42,12,27,0.5680705903135276,0.02834971645930313,0.004714598231623896,0.45118579243641777
random_init_eat_seed42,12,28,0.5725229373849351,0.5032023021306896,0.1121993440387304,0.3436045662682155
random_init_eat_seed42,12,29,0.5628472256122085,0.758379632473358,0.20869224036457396,0.3256997485344392
