model,layer_idx,split,n,mean_within_clip_var,mean_between_clip_var,within_total_ratio
random_init_eat_seed42,7,bio,600,303.76681367411004,327.93765830977975,0.48086855032088
random_init_eat_seed42,7,nonbio,200,252.74490041710362,348.48984055771956,0.42037640740338955
random_init_eat_seed42,8,all,800,273.8643669008533,344.32302583657787,0.44301189270156216
random_init_eat_seed42,8,bio,600,285.6396411903605,338.0275504074849,0.45800010813226705
random_init_eat_seed42,8,nonbio,200,238.53854403233206,363.2094521238565,0.3964093699622681
random_init_eat_seed42,9,all,800,255.73685134419742,360.8098079997422,0.41478912823292907
random_init_eat_seed42,9,bio,600,266.47383254894345,355.1925120851376,0.42864445670738793
random_init_eat_seed42,9,nonbio,200,223.5259077299593,377.6616957435559,0.37180724692006484
random_init_eat_seed42,10,all,800,240.32013359529483,373.6106909097983,0.39144497067568423
random_init_eat_seed42,10,bio,600,251.2354413619524,367.27284256662836,0.40619575823007503
random_init_eat_seed42,10,nonbio,200,207.57421029532222,392.62423593930805,0.3458426318787521
random_init_eat_seed42,11,all,800,224.05955870995436,386.72889444056347,0.36683659875072805
random_init_eat_seed42,11,bio,600,233.5305379830051,380.39993590278914,0.38038596863404334
random_init_eat_seed42,11,nonbio,200,195.64662089080207,405.7157700538861,0.32533897004010875
random_init_eat_seed42,12,all,800,210.39055025723442,401.1019315446993,0.34406073094678086
random_init_eat_seed42,12,bio,600,219.74259312876995,395.07445650585487,0.3574113523028667
random_init_eat_seed42,12,nonbio,200,182.33442164262775,419.18435666123275,0.3031234073136791
