model,layer_idx,species,n_clips,within_var,centroid_norm,cos_to_global_bio_centroid,class
eat_all,7,Strix varia,6,63.910064623346685,4.362665112710299,0.9194046675231465,Aves
eat_all,7,Calidris alpina,5,66.20153897232501,4.134056688323978,0.9305124340131125,Aves
eat_all,7,Colaptes auratus,6,65.76642531342397,4.203176829797025,0.8962008060826036,Aves
eat_all,7,Dryobates pubescens,5,66.45106681656345,4.112845274984769,0.9290601956873903,Aves
eat_all,7,Canis latrans,6,63.68944263163008,4.453790703898519,0.9017199880462409,Mammalia
eat_all,7,Dendrocopos major,11,66.79622361531783,4.084559173671115,0.9258670925724715,Aves
eat_all,7,Stenella coeruleoalba,5,60.08790155138488,4.877639327215723,0.8494417147475916,Mammalia
eat_all,7,Stenella attenuata,6,65.96503562206686,4.3024769248073405,0.8472328880742162,Mammalia
eat_all,7,Tyto alba,5,64.82326680871506,4.305051309763522,0.9331009382325284,Aves
eat_all,7,Megaptera novaeangliae,10,64.52642166954303,4.487378991393129,0.8155068282939845,Mammalia
eat_all,7,Picus viridis,5,65.97509100917728,4.137351027458035,0.9082718870146058,Aves
eat_all,7,Athene noctua,7,66.51888058944863,4.104465857333459,0.9081534697078356,Aves
eat_all,7,Bubo virginianus,5,63.35330617006663,4.391838394203212,0.9050000890017023,Aves
eat_all,7,Sciurus carolinensis,7,64.59935506380496,4.324327149994047,0.9120184632488033,Mammalia
eat_all,7,Pseudorca crassidens,8,64.51391960667998,4.4791173985275785,0.8158653085934144,Mammalia
eat_all,7,Globicephala macrorhynchus,9,64.55700177670064,4.454777943089588,0.8663450198148449,Mammalia
eat_all,7,Globicephala melaena,8,60.83164544864661,4.828057498838167,0.8397026828440648,Mammalia
eat_all,7,Sterna paradisaea,5,68.28705186679822,3.964017115263165,0.8927257134455618,Aves
eat_all,7,Strix aluco,7,66.00659751535308,4.176321923103744,0.9190143373589054,Aves
eat_all,7,Balaenoptera physalus,12,57.0569301394088,5.353330312330262,0.5782649362637592,Mammalia
eat_all,8,Delphinus delphis,9,58.017128729114184,4.262033786776698,0.8888375473543181,Mammalia
eat_all,8,Eubalaena glacialis,7,58.960802195075814,4.348646278817792,0.8513203871253929,Mammalia
eat_all,8,Aegolius funereus,5,58.695295243712394,4.091901043831748,0.918573687397087,Aves
