model,layer_idx,order,n_clips,abs_cos_parent_vs_subord,subord_norm
random_init_eat_seed42,6,Charadriiformes,100,0.9043811830859155,0.732407472837207
random_init_eat_seed42,6,Piciformes,100,0.8638931035200149,3.0468513950720557
random_init_eat_seed42,6,Strigiformes,100,0.7947310940721869,0.781059712523991
random_init_eat_seed42,7,Passeriformes,100,0.9220177271576375,2.997838603079176
random_init_eat_seed42,7,Charadriiformes,100,0.819917384144174,0.7766727515466302
random_init_eat_seed42,7,Piciformes,100,0.8590194270461331,3.203168731314262
random_init_eat_seed42,7,Strigiformes,100,0.8174728256744291,0.7637323253969674
random_init_eat_seed42,8,Passeriformes,100,0.9161175669480546,3.130470985986014
random_init_eat_seed42,8,Charadriiformes,100,0.8660736531710747,0.7935237909362022
random_init_eat_seed42,8,Piciformes,100,0.8808864829781554,3.1640242615562615
random_init_eat_seed42,8,Strigiformes,100,0.8248627664680894,0.7352990677790185
random_init_eat_seed42,9,Passeriformes,100,0.9224404850630586,3.2408572454550852
random_init_eat_seed42,9,Charadriiformes,100,0.880082131622759,0.7885942629227395
random_init_eat_seed42,9,Piciformes,100,0.8769920511570493,3.257513988899636
random_init_eat_seed42,9,Strigiformes,100,0.8231443741276891,0.6819422580858608
random_init_eat_seed42,10,Passeriformes,100,0.9522185452954705,3.147416362299863
random_init_eat_seed42,10,Charadriiformes,100,0.8684338295419155,0.8017524612452163
random_init_eat_seed42,10,Piciformes,100,0.89806124975183,3.177856389800353
random_init_eat_seed42,10,Strigiformes,100,0.7388535405988281,0.7486588938380794
random_init_eat_seed42,11,Passeriformes,100,0.93974545041656,3.3769979726818566
random_init_eat_seed42,11,Charadriiformes,100,0.8752424956229427,0.8296876191920829
random_init_eat_seed42,11,Piciformes,100,0.8973334430025028,3.3191306326504293
random_init_eat_seed42,11,Strigiformes,100,0.7577703912362254,0.7007699742823098
random_init_eat_seed42,12,Passeriformes,100,0.9429059046012266,3.4611438025019847
random_init_eat_seed42,12,Charadriiformes,100,0.8467551308667407,0.8403802153053677
random_init_eat_seed42,12,Piciformes,100,0.9073627276519591,3.3417278284020053
random_init_eat_seed42,12,Strigiformes,100,0.7634403024694993,0.6290212026026641
