model,layer_idx,order_a,order_b,abs_cos_subord_pair
random_init_eat_seed42,10,Passeriformes,Charadriiformes,0.8155476841011962
random_init_eat_seed42,10,Passeriformes,Piciformes,0.9715130830064568
random_init_eat_seed42,10,Passeriformes,Strigiformes,0.7931213255505455
random_init_eat_seed42,10,Charadriiformes,Piciformes,0.6795693304791637
random_init_eat_seed42,10,Charadriiformes,Strigiformes,0.5268852820213399
random_init_eat_seed42,10,Piciformes,Strigiformes,0.8881804434866744
random_init_eat_seed42,11,Passeriformes,Charadriiformes,0.8422761691447906
random_init_eat_seed42,11,Passeriformes,Piciformes,0.9781754763158159
random_init_eat_seed42,11,Passeriformes,Strigiformes,0.8112755042241733
random_init_eat_seed42,11,Charadriiformes,Piciformes,0.7317003652235846
random_init_eat_seed42,11,Charadriiformes,Strigiformes,0.5906785147717084
random_init_eat_seed42,11,Piciformes,Strigiformes,0.8888987573128766
random_init_eat_seed42,12,Passeriformes,Charadriiformes,0.7856853102405074
random_init_eat_seed42,12,Passeriformes,Piciformes,0.9794668257128556
random_init_eat_seed42,12,Passeriformes,Strigiformes,0.7507537224522087
random_init_eat_seed42,12,Charadriiformes,Piciformes,0.6713610890766842
random_init_eat_seed42,12,Charadriiformes,Strigiformes,0.579494756222247
random_init_eat_seed42,12,Piciformes,Strigiformes,0.8200822982408383
