model,layer_idx,species,n_clips,within_var,centroid_norm,cos_to_global_bio_centroid,class
sl_eat_bio_ssl_all,8,Turdus merula,10,69.70348915409365,3.543943990347669,0.7432834571020702,Aves
sl_eat_bio_ssl_all,9,Lagenorhynchus acutus,6,42.28277851696809,4.2437740875222385,0.6928465220904714,Mammalia
sl_eat_bio_ssl_all,9,Delphinus delphis,8,41.34791619019932,4.437324822029041,0.6765505124023443,Mammalia
sl_eat_bio_ssl_all,9,Balaenoptera physalus,8,37.10497202192351,4.911228310931144,0.5549575752821181,Mammalia
sl_eat_bio_ssl_all,9,Erithacus rubecula,6,47.56854168826851,3.4661370199041786,0.6900838771918422,Aves
sl_eat_bio_ssl_all,9,Parus major,6,47.639133268510676,3.51497219777449,0.7167106020687616,Aves
sl_eat_bio_ssl_all,9,Stenella coeruleoalba,5,38.69549598293767,4.742758610870769,0.6747209687907066,Mammalia
sl_eat_bio_ssl_all,9,Megaptera novaeangliae,8,42.566076843505115,4.359581548776703,0.5242997055428614,Mammalia
sl_eat_bio_ssl_all,9,Anthus trivialis,5,39.82620311949205,4.556480833634051,0.6334661508310563,Aves
sl_eat_bio_ssl_all,9,Globicephala macrorhynchus,7,46.18365295362716,3.7915615481152716,0.6911045637770193,Mammalia
sl_eat_bio_ssl_all,9,Orcinus orca,18,42.67961802568512,4.330724134873793,0.608820608207832,Mammalia
sl_eat_bio_ssl_all,9,Fringilla coelebs,14,47.839980475291846,3.36809329952166,0.716098314400097,Aves
sl_eat_bio_ssl_all,9,Turdus merula,10,48.38880733431653,3.3471343132245175,0.7008960117118203,Aves
sl_eat_bio_ssl_all,10,Lagenorhynchus acutus,6,25.32218006256358,3.220764416741132,0.6867218663121529,Mammalia
sl_eat_bio_ssl_all,10,Delphinus delphis,8,24.787797945724552,3.3684992890399,0.6641527539303239,Mammalia
sl_eat_bio_ssl_all,10,Balaenoptera physalus,8,22.96675714829863,3.6150406702784794,0.48970651793669995,Mammalia
sl_eat_bio_ssl_all,10,Erithacus rubecula,6,26.30150815079659,3.1689728181245713,0.7143197950377135,Aves
sl_eat_bio_ssl_all,10,Parus major,6,26.01912482212896,3.1821242249390207,0.7498599435232156,Aves
sl_eat_bio_ssl_all,10,Stenella coeruleoalba,5,22.97459788014502,3.6169678637937386,0.66575164483991,Mammalia
sl_eat_bio_ssl_all,10,Megaptera novaeangliae,8,24.09474989723525,3.4514291580729997,0.5283681671309551,Mammalia
sl_eat_bio_ssl_all,10,Anthus trivialis,5,23.36913394700274,3.573132624527082,0.6612261695481748,Aves
