model,layer_idx,source_dataset,n_samples,effective_rank
sl_eat_bio_ssl_all,2,NatureLM,100,7.925956428651767
sl_eat_bio_ssl_all,2,Watkins,100,18.276655423058127
sl_eat_bio_ssl_all,2,WavCaps,100,17.240825356252376
sl_eat_bio_ssl_all,2,Xeno-canto,100,21.495154297825593
sl_eat_bio_ssl_all,2,iNaturalist,100,16.738859996870406
sl_eat_bio_ssl_all,2,nature_only,400,22.942140169469347
sl_eat_bio_ssl_all,2,nonnature_only,200,12.557946079627898
sl_eat_bio_ssl_all,3,Animal Sound Archive,100,24.559047801103084
sl_eat_bio_ssl_all,3,NatureLM,100,11.299241283189385
sl_eat_bio_ssl_all,3,Watkins,100,23.000982368943365
sl_eat_bio_ssl_all,3,WavCaps,100,24.229437685245365
sl_eat_bio_ssl_all,3,Xeno-canto,100,30.341935415083846
sl_eat_bio_ssl_all,3,iNaturalist,100,25.791870427055738
sl_eat_bio_ssl_all,3,nature_only,400,31.59783115925016
sl_eat_bio_ssl_all,3,nonnature_only,200,19.494214778360433
sl_eat_bio_ssl_all,4,Animal Sound Archive,100,33.87446034676883
sl_eat_bio_ssl_all,4,NatureLM,100,14.580710179498189
sl_eat_bio_ssl_all,4,Watkins,100,27.346843067006354
sl_eat_bio_ssl_all,4,WavCaps,100,33.18060525975533
sl_eat_bio_ssl_all,4,Xeno-canto,100,39.658627161986566
sl_eat_bio_ssl_all,4,iNaturalist,100,36.104351251433144
sl_eat_bio_ssl_all,4,nature_only,400,47.49903640817857
sl_eat_bio_ssl_all,4,nonnature_only,200,27.624780819874157
sl_eat_bio_ssl_all,5,Animal Sound Archive,100,44.58756762582295
sl_eat_bio_ssl_all,5,NatureLM,100,20.591180102197832
sl_eat_bio_ssl_all,5,Watkins,100,33.44089086813492
sl_eat_bio_ssl_all,5,WavCaps,100,44.6524210498744
sl_eat_bio_ssl_all,5,Xeno-canto,100,51.696133279123686
sl_eat_bio_ssl_all,5,iNaturalist,100,47.11987742071225
sl_eat_bio_ssl_all,5,nature_only,400,71.53290709334061
sl_eat_bio_ssl_all,5,nonnature_only,200,41.91719179514337
sl_eat_bio_ssl_all,6,Animal Sound Archive,100,50.41921449364824
sl_eat_bio_ssl_all,6,NatureLM,100,27.13110939528692
