source_dataset,layer_idx,layer_name,cosine_similarity_mean,cosine_similarity_std,cosine_similarity_median,cosine_distance_mean,cosine_distance_std,cosine_distance_median,l2_distance_mean,l2_distance_std,l2_distance_median,norm_model_a_mean,norm_model_a_std,norm_model_a_median,norm_model_b_mean,norm_model_b_std,norm_model_b_median,norm_delta_b_minus_a_mean,norm_delta_b_minus_a_std,norm_delta_b_minus_a_median
NatureLM,11,model.blocks.10,0.25259485398215475,0.09703335636607177,0.25684957206249237,0.7474051469564438,0.097033355784607,0.7431504428386688,3.6258054876327517,0.2380232678135522,3.623263716697693,1.734024612903595,0.20743636804112836,1.7180648446083069,3.653948414325714,0.20592373076545092,3.6370010375976562,1.9199238014221192,0.20890116343372328,1.8923127055168152
NatureLM,12,model.blocks.11,0.09610451538406778,0.1137709381927,0.11114775389432907,0.9038954830169678,0.11377093881147028,0.8888522386550903,13.07152886390686,0.8160395379786052,13.042741775512695,5.33547949552536,1.623473650222464,4.5701634883880615,12.47049599647522,0.7579415799004405,12.428950309753418,7.135016503334046,2.017196435627273,7.651010990142822
Watkins,0,model.pos_drop,0.8121161139011384,0.028444373596612466,0.818703830242157,0.1878838860988617,0.028444373596612473,0.18129616975784302,0.2778897504508495,0.08072206449939037,0.25580044090747833,0.45110313802957536,0.12866241854256724,0.41913822293281555,0.2864057536423206,0.06840759315366765,0.2745257467031479,-0.16469738408923149,0.087243941137596,-0.1320882961153984
Watkins,1,model.blocks.0,0.836030353307724,0.03279127044337479,0.8407248258590698,0.163969646692276,0.0327912704433748,0.15927517414093018,1.548794093132019,0.2492840891816171,1.535244643688202,2.8401295351982117,0.6242581099727221,2.7808889150619507,2.5283593678474428,0.5643236949826664,2.5095490217208862,-0.31177016735076907,0.2347496028214923,-0.30694425106048584
Watkins,2,model.blocks.1,0.735440348982811,0.03865334017737694,0.7402271330356598,0.26455965101718903,0.038653340177376934,0.2597728669643402,2.0990930569171904,0.30611535580916904,2.1343228816986084,3.055732698440552,0.5380227663650983,3.09877347946167,2.6183391320705414,0.4549684446560277,2.5140061378479004,-0.43739356637001037,0.27828545160721574,-0.40706169605255127
Watkins,3,model.blocks.2,0.6852057152986526,0.04660322975030465,0.684297502040863,0.31479428470134735,0.04660322975030464,0.31570249795913696,2.3381989359855653,0.3833879346703478,2.353329062461853,3.0377740979194643,0.4894300572585896,3.0181615352630615,2.8121889448165893,0.3860380563161656,2.7507258653640747,-0.22558515310287475,0.2718264048424489,-0.20618939399719238
Watkins,4,model.blocks.3,0.6065440478920937,0.05185266112947106,0.5999359786510468,0.39345595240592957,0.05185266175283877,0.40006402134895325,3.769851450920105,0.6170528444931679,3.817193388938904,4.533436472415924,0.6867635700371401,4.531345367431641,3.8106459546089173,0.5771085205044517,3.7495851516723633,-0.7227905178070069,0.4101430298246702,-0.740741491317749
Watkins,5,model.blocks.4,0.5012983664870262,0.06328613654446259,0.4896654635667801,0.4987016326189041,0.06328613719881637,0.5103345513343811,4.533954474925995,0.6885031937348157,4.629511594772339,4.770105271339417,0.669061239949497,4.792409896850586,4.230726308822632,0.6009884005149477,4.160319089889526,-0.5393789625167846,0.4572860912562753,-0.5622519254684448
Watkins,6,model.blocks.5,0.424633212685585,0.07057120276725622,0.414567768573761,0.5753667896986008,0.07057120161694995,0.585432231426239,5.051224534511566,0.6190743518420418,5.0765228271484375,4.803655922412872,0.597513644164259,4.85279655456543,4.565351457595825,0.5109389432311032,4.51836085319519,-0.23830446481704712,0.5907021954017501,-0.2976796627044678
Watkins,7,model.blocks.6,0.33807198867201804,0.0644628648237586,0.32860469818115234,0.6619280099868774,0.06446286617318912,0.6713953018188477,6.549865465164185,0.6072590362527537,6.599056243896484,5.456623435020447,0.6035596074263176,5.4797523021698,5.874049391746521,0.5324151636709042,5.879191637039185,0.41742595672607424,0.7088567458871695,0.4065115451812744
