model,layer_idx,top_k,mean_cos_principal_angles,n_bio_frames,n_nonbio_frames
eat_bio,1,5,0.8165470533980779,20000,10000
eat_bio,1,10,0.8300171352823537,20000,10000
eat_bio,1,20,0.9053277832571636,20000,10000
eat_bio,1,50,0.9147664863575045,20000,10000
eat_bio,2,5,0.7712489049584942,20000,10000
eat_bio,2,10,0.9047568771543772,20000,10000
eat_bio,2,20,0.9080101188851539,20000,10000
eat_bio,2,50,0.9333716073963612,20000,10000
eat_bio,3,5,0.7393985985708632,20000,10000
eat_bio,3,10,0.9232468546319698,20000,10000
eat_bio,3,20,0.9143445212218287,20000,10000
eat_bio,3,50,0.9096461087219723,20000,10000
eat_bio,4,5,0.8547916957805907,20000,10000
eat_bio,4,10,0.7807543965864269,20000,10000
eat_bio,4,20,0.9003806342744388,20000,10000
eat_bio,4,50,0.8861468935758571,20000,10000
eat_bio,5,5,0.7252328379707931,20000,10000
eat_bio,5,10,0.8537641351043976,20000,10000
eat_bio,5,20,0.8611950975631946,20000,10000
eat_bio,5,50,0.887631488582281,20000,10000
eat_bio,6,5,0.815056795184622,20000,10000
eat_bio,6,10,0.742210349390721,20000,10000
eat_bio,6,20,0.862271911819555,20000,10000
eat_bio,6,50,0.8468142016615142,20000,10000
eat_bio,7,5,0.7977558381034703,20000,10000
eat_bio,7,10,0.7521378184364506,20000,10000
eat_bio,7,20,0.8476602231206023,20000,10000
eat_bio,7,50,0.8248953708612234,20000,10000
eat_bio,8,5,0.800807283181735,20000,10000
eat_bio,8,10,0.7523019414328147,20000,10000
eat_bio,8,20,0.872750857240511,20000,10000
eat_bio,8,50,0.8532391476503739,20000,10000
eat_bio,9,5,0.7960765507988692,20000,10000
eat_bio,9,10,0.8077629288885285,20000,10000
eat_bio,9,20,0.8242664943856092,20000,10000
eat_bio,9,50,0.8511808378311315,20000,10000
eat_bio,10,5,0.7961056432483415,20000,10000
eat_bio,10,10,0.8096304946524693,20000,10000
eat_bio,10,20,0.8519366074086963,20000,10000
eat_bio,10,50,0.8346368962517158,20000,10000
eat_bio,11,5,0.828068986577571,20000,10000
eat_bio,11,10,0.8227657094728521,20000,10000
eat_bio,11,20,0.8537503303939008,20000,10000
eat_bio,11,50,0.8247027030543026,20000,10000
eat_bio,12,5,0.7637374188443478,20000,10000
eat_bio,12,10,0.7066464966029025,20000,10000
eat_bio,12,20,0.7026434261569888,20000,10000
eat_bio,12,50,0.7705553501075988,20000,10000
sl_eat_all_ssl_all,0,5,0.8194790349270675,20000,10000
sl_eat_all_ssl_all,0,10,0.7688002967549477,20000,10000
sl_eat_all_ssl_all,0,20,0.8309350511826311,20000,10000
sl_eat_all_ssl_all,0,50,0.9443452355939341,20000,10000
sl_eat_all_ssl_all,1,5,0.8261345637155297,20000,10000
sl_eat_all_ssl_all,1,10,0.918155519790955,20000,10000
sl_eat_all_ssl_all,1,20,0.9469578167360957,20000,10000
sl_eat_all_ssl_all,1,50,0.9398615791260612,20000,10000
sl_eat_all_ssl_all,2,5,0.8235675192359878,20000,10000
sl_eat_all_ssl_all,2,10,0.8123738191992148,20000,10000
sl_eat_all_ssl_all,2,20,0.9485775027254062,20000,10000
sl_eat_all_ssl_all,2,50,0.9429010582080741,20000,10000
sl_eat_all_ssl_all,3,5,0.7532257526186756,20000,10000
sl_eat_all_ssl_all,3,10,0.8166190265500344,20000,10000
sl_eat_all_ssl_all,3,20,0.9209311313772159,20000,10000
sl_eat_all_ssl_all,3,50,0.9151375823439498,20000,10000
sl_eat_all_ssl_all,4,5,0.7854170630553301,20000,10000
sl_eat_all_ssl_all,4,10,0.7724430131628843,20000,10000
sl_eat_all_ssl_all,4,20,0.8829591771449244,20000,10000
sl_eat_all_ssl_all,4,50,0.9002517767344377,20000,10000
sl_eat_all_ssl_all,5,5,0.7751174244815799,20000,10000
sl_eat_all_ssl_all,5,10,0.8101302218679605,20000,10000
sl_eat_all_ssl_all,5,20,0.8572167952261447,20000,10000
sl_eat_all_ssl_all,5,50,0.8763727823298229,20000,10000
sl_eat_all_ssl_all,6,5,0.7653101210630406,20000,10000
sl_eat_all_ssl_all,6,10,0.7432487055734666,20000,10000
sl_eat_all_ssl_all,6,20,0.804359961388607,20000,10000
sl_eat_all_ssl_all,6,50,0.8515428597220521,20000,10000
sl_eat_all_ssl_all,7,5,0.6984187551627109,20000,10000
sl_eat_all_ssl_all,7,10,0.7164872504004394,20000,10000
