model,layer_idx,source_a,source_b,is_bio_a,is_bio_b,same_bio_class,mean_cos_principal_angles,k
eat_all,12,Watkins,Xeno-canto,True,True,True,0.713644666256768,10
eat_all,12,Watkins,iNaturalist,True,True,True,0.7692404416116968,10
eat_all,12,WavCaps,Xeno-canto,False,True,False,0.8238674844968175,10
eat_all,12,WavCaps,iNaturalist,False,True,False,0.8650563269726103,10
eat_all,12,Xeno-canto,iNaturalist,True,True,True,0.844077846265437,10
eat_bio,0,Animal Sound Archive,NatureLM,True,False,False,0.8383375279405424,10
eat_bio,0,Animal Sound Archive,Watkins,True,True,True,0.9302595841296732,10
eat_bio,0,Animal Sound Archive,WavCaps,True,False,False,0.9488060520429894,10
eat_bio,0,Animal Sound Archive,Xeno-canto,True,True,True,0.8934246234897436,10
eat_bio,0,Animal Sound Archive,iNaturalist,True,True,True,0.8863838412784737,10
eat_bio,0,NatureLM,Watkins,False,True,False,0.8370732309847708,10
eat_bio,0,NatureLM,WavCaps,False,False,True,0.8383683889017387,10
eat_bio,0,NatureLM,Xeno-canto,False,True,False,0.8025422464578117,10
eat_bio,0,NatureLM,iNaturalist,False,True,False,0.7990523673948923,10
eat_bio,0,Watkins,WavCaps,True,False,False,0.9002343980637434,10
eat_bio,0,Watkins,Xeno-canto,True,True,True,0.8630547226281793,10
eat_bio,0,Watkins,iNaturalist,True,True,True,0.8674406069448972,10
eat_bio,0,WavCaps,Xeno-canto,False,True,False,0.9031160143244307,10
eat_bio,0,WavCaps,iNaturalist,False,True,False,0.8955294891695911,10
eat_bio,0,Xeno-canto,iNaturalist,True,True,True,0.9781308810512946,10
eat_bio,1,Animal Sound Archive,NatureLM,True,False,False,0.8203100848650736,10
eat_bio,1,Animal Sound Archive,Watkins,True,True,True,0.817126423997294,10
eat_bio,1,Animal Sound Archive,WavCaps,True,False,False,0.8811544308020325,10
eat_bio,1,Animal Sound Archive,Xeno-canto,True,True,True,0.8785020088568334,10
eat_bio,1,Animal Sound Archive,iNaturalist,True,True,True,0.9487681571958613,10
eat_bio,1,NatureLM,Watkins,False,True,False,0.8086289524832211,10
eat_bio,1,NatureLM,WavCaps,False,False,True,0.9154036963241527,10
eat_bio,1,NatureLM,Xeno-canto,False,True,False,0.7602064515205733,10
eat_bio,1,NatureLM,iNaturalist,False,True,False,0.8313567141995598,10
eat_bio,1,Watkins,WavCaps,True,False,False,0.8155539259603003,10
eat_bio,1,Watkins,Xeno-canto,True,True,True,0.7797426913134233,10
eat_bio,1,Watkins,iNaturalist,True,True,True,0.8189234817603364,10
eat_bio,1,WavCaps,Xeno-canto,False,True,False,0.8160794280278834,10
eat_bio,1,WavCaps,iNaturalist,False,True,False,0.886329721802389,10
eat_bio,1,Xeno-canto,iNaturalist,True,True,True,0.8833182499986562,10
eat_bio,2,Animal Sound Archive,NatureLM,True,False,False,0.7496482728637928,10
eat_bio,2,Animal Sound Archive,Watkins,True,True,True,0.703364171298196,10
eat_bio,2,Animal Sound Archive,WavCaps,True,False,False,0.8712930568410213,10
