model,layer_idx,layer_name,source_dataset,n_samples,norm_mean,norm_std,norm_median
eat_bio,10,model.blocks.9,All,600,2.3051321506500244,0.362809419631958,2.155184745788574
eat_bio,11,model.blocks.10,Animal Sound Archive,100,2.2142250537872314,0.11291241645812988,2.19144344329834
eat_bio,11,model.blocks.10,NatureLM,100,2.5769195556640625,0.32635051012039185,2.501588821411133
eat_bio,11,model.blocks.10,Watkins,100,2.8125510215759277,0.2932998836040497,2.8118016719818115
eat_bio,11,model.blocks.10,WavCaps,100,2.4139890670776367,0.24668586254119873,2.333771228790283
eat_bio,11,model.blocks.10,Xeno-canto,100,2.2505173683166504,0.12610192596912384,2.2327041625976562
eat_bio,11,model.blocks.10,iNaturalist,100,2.3142342567443848,0.1427524983882904,2.272756576538086
eat_bio,11,model.blocks.10,All,600,2.430406093597412,0.30626049637794495,2.3117470741271973
eat_bio,12,model.blocks.11,Animal Sound Archive,100,3.908121109008789,0.4064689874649048,3.896810293197632
eat_bio,12,model.blocks.11,NatureLM,100,3.8833627700805664,0.7323600053787231,3.7889857292175293
eat_bio,12,model.blocks.11,Watkins,100,4.152774810791016,0.3690449297428131,4.104339599609375
eat_bio,12,model.blocks.11,WavCaps,100,4.1338043212890625,0.5271292924880981,4.099781036376953
eat_bio,12,model.blocks.11,Xeno-canto,100,3.7321882247924805,0.2910346984863281,3.7300429344177246
eat_bio,12,model.blocks.11,iNaturalist,100,3.707610845565796,0.29388436675071716,3.7411370277404785
eat_bio,12,model.blocks.11,All,600,3.9196436405181885,0.4947151243686676,3.887416362762451
sl_eat_all_ssl_all,0,model.pos_drop,Animal Sound Archive,100,0.29663917422294617,0.08780686557292938,0.2733212113380432
sl_eat_all_ssl_all,0,model.pos_drop,NatureLM,100,0.5842814445495605,0.21734784543514252,0.5230084657669067
sl_eat_all_ssl_all,0,model.pos_drop,Watkins,100,0.4511031210422516,0.12801748514175415,0.41913822293281555
sl_eat_all_ssl_all,0,model.pos_drop,WavCaps,100,0.3995387554168701,0.18154071271419525,0.3321433663368225
sl_eat_all_ssl_all,0,model.pos_drop,Xeno-canto,100,0.395206093788147,0.13583165407180786,0.363831102848053
sl_eat_all_ssl_all,0,model.pos_drop,iNaturalist,100,0.5006577968597412,0.15932127833366394,0.4684653580188751
sl_eat_all_ssl_all,0,model.pos_drop,All,600,0.437904417514801,0.18116223812103271,0.40215468406677246
sl_eat_all_ssl_all,1,model.blocks.0,Animal Sound Archive,100,1.6775310039520264,0.2711758017539978,1.6175353527069092
sl_eat_all_ssl_all,1,model.blocks.0,NatureLM,100,2.9177439212799072,0.8814535737037659,2.938568592071533
sl_eat_all_ssl_all,1,model.blocks.0,Watkins,100,2.8401291370391846,0.6211289763450623,2.7808890342712402
sl_eat_all_ssl_all,1,model.blocks.0,WavCaps,100,2.0906498432159424,0.7683356404304504,1.8004381656646729
sl_eat_all_ssl_all,1,model.blocks.0,Xeno-canto,100,1.9223812818527222,0.3964461386203766,1.8233587741851807
sl_eat_all_ssl_all,1,model.blocks.0,iNaturalist,100,2.2105424404144287,0.5503271818161011,2.076066017150879
sl_eat_all_ssl_all,1,model.blocks.0,All,600,2.276496410369873,0.7679619789123535,2.0363011360168457
sl_eat_all_ssl_all,2,model.blocks.1,Animal Sound Archive,100,1.9186058044433594,0.2476351410150528,1.8968801498413086
