model,layer,perm_b,abs_cos
eat_all,9,151,0.0774525848240718
eat_all,9,152,0.453094670333615
eat_all,9,153,0.05298144052887858
eat_all,9,154,0.061431302177010316
eat_all,9,155,0.07195751420777168
eat_all,9,156,0.0043781136967076155
eat_all,9,157,0.056985901632761286
eat_all,9,158,0.18274024436728187
eat_all,9,159,0.14118644920671103
eat_all,9,160,0.2678451369284526
eat_all,9,161,0.06406622512607268
eat_all,9,162,0.1668273748808813
eat_all,9,163,0.03459494604116662
eat_all,9,164,0.16825509212261924
eat_all,9,165,0.22706050597492863
eat_all,9,166,0.003479709743191344
eat_all,9,167,0.11025239992078671
eat_all,9,168,0.08813720671655764
eat_all,9,169,0.0937881266140474
eat_all,9,170,0.22515946743909232
eat_all,9,171,0.08406482605298166
eat_all,9,172,0.09014209769371047
eat_all,9,173,0.393762485715967
eat_all,9,174,0.026695532584385055
eat_all,9,175,0.09360424534550874
eat_all,9,176,0.046494204019493515
eat_all,9,177,0.24748551234624752
eat_all,9,178,0.3016612228781721
eat_all,9,179,0.27881137379959725
eat_all,9,180,0.14426093160934514
eat_all,9,181,0.16508083083560712
eat_all,9,182,0.33703182995897063
eat_all,9,183,0.13929129000501883
eat_all,9,184,0.13845887299609452
eat_all,9,185,0.08734781870385523
eat_all,9,186,0.11377222097262264
eat_all,9,187,0.0030280518906513317
eat_all,9,188,0.10999814939049142
eat_all,9,189,0.04335639187488596
eat_all,9,190,0.07332064628536399
eat_all,9,191,0.23810554121372485
eat_all,9,192,0.4306416369821941
eat_all,9,193,0.1194404098316938
eat_all,9,194,0.13385746210883315
eat_all,9,195,0.02710091554044239
eat_all,9,196,0.08143980527856223
eat_all,9,197,0.08556371376712107
eat_all,9,198,0.2124518675974671
eat_all,9,199,0.08950184300801231
eat_all,12,0,0.5999619223175953
eat_all,12,1,0.031090674658273622
eat_all,12,2,0.5208295892616198
eat_all,12,3,0.0513451547051871
eat_all,12,4,0.1777173934170033
eat_all,12,5,0.24808066378405072
eat_all,12,6,0.0023231046675579485
eat_all,12,7,0.449667511014169
eat_all,12,8,0.026836241318901593
eat_all,12,9,0.22274070871061058
eat_all,12,10,0.3904881829608254
eat_all,12,11,0.11314996894461334
eat_all,12,12,0.1539108672512664
eat_all,12,13,0.22714514514616327
eat_all,12,14,0.4110071910442352
eat_all,12,15,0.05307286014434945
eat_all,12,16,0.5434166621072466
eat_all,12,17,0.30119219166496
eat_all,12,18,0.015518653340756316
eat_all,12,19,0.3759250264336479
eat_all,12,20,0.5769897320090375
eat_all,12,21,0.7303377418264623
eat_all,12,22,0.3188745781474709
eat_all,12,23,0.49075255306084686
eat_all,12,24,0.09187894894523234
eat_all,12,25,0.2487745160353304
eat_all,12,26,0.5060374811372237
eat_all,12,27,0.35010471186590736
eat_all,12,28,0.23389960120604938
eat_all,12,29,0.44078085832422675
eat_all,12,30,0.19324342384539459
eat_all,12,31,0.532491782315058
eat_all,12,32,0.01240479960105134
eat_all,12,33,0.3411444128506993
eat_all,12,34,0.46320033673276956
eat_all,12,35,0.24237235516260375
eat_all,12,36,0.18366909365671164
eat_all,12,37,0.03695870878885449
eat_all,12,38,0.33983116447418854
eat_all,12,39,0.4754421531957445
eat_all,12,40,0.24327726079503706
eat_all,12,41,0.0279861029850968
eat_all,12,42,0.0023818979665460897
eat_all,12,43,0.28338775318692244
eat_all,12,44,0.3327433275993537
eat_all,12,45,0.22639959934192744
eat_all,12,46,0.2333645360870851
eat_all,12,47,0.3515190266017478
eat_all,12,48,0.3048287801661531
eat_all,12,49,0.7464389891629519
eat_all,12,50,0.4367875976034048
eat_all,12,51,0.5002926044415222
eat_all,12,52,0.3724369944737001
eat_all,12,53,0.3808897581115121
eat_all,12,54,0.16600222623115332
eat_all,12,55,0.43772576662228724
eat_all,12,56,0.02848748218297364
eat_all,12,57,0.11715450447679993
eat_all,12,58,0.005144771621864739
eat_all,12,59,0.39048319549163657
eat_all,12,60,0.1647990462982089
eat_all,12,61,0.03784229179851701
eat_all,12,62,0.36537966614504824
eat_all,12,63,0.005021174065144415
eat_all,12,64,0.06579313947376866
eat_all,12,65,0.16518190934367155
eat_all,12,66,0.06309445555906858
eat_all,12,67,0.013901756050001556
eat_all,12,68,0.10673467112626929
eat_all,12,69,0.4330632235036193
eat_all,12,70,0.5353148865851172
eat_all,12,71,0.18722812527433796
eat_all,12,72,0.19656144196450995
eat_all,12,73,0.3228253354920113
eat_all,12,74,0.011358914189419346
eat_all,12,75,0.6627075507603261
eat_all,12,76,0.07113369701400214
eat_all,12,77,0.0893607891283094
eat_all,12,78,0.09685164841646232
eat_all,12,79,0.1454988123226929
eat_all,12,80,0.2835655013240263
eat_all,12,81,0.32973669668575245
eat_all,12,82,0.08711362244818731
eat_all,12,83,0.11563695361686475
eat_all,12,84,0.6097955181613804
eat_all,12,85,0.1611266179786687
eat_all,12,86,0.025898182932932202
eat_all,12,87,0.6960975920602108
eat_all,12,88,0.2816946991824692
eat_all,12,89,0.26280196194392214
eat_all,12,90,0.39505603583382015
eat_all,12,91,0.20393249476742528
eat_all,12,92,0.08015272738873534
eat_all,12,93,0.06107942142194656
eat_all,12,94,0.341728070375032
eat_all,12,95,0.41241421755446717
eat_all,12,96,0.21583825774517454
eat_all,12,97,0.24903936987268768
eat_all,12,98,0.5053608018502332
eat_all,12,99,0.10013778277366979
eat_all,12,100,0.3943528491540069
eat_all,12,101,0.14261053544992972
eat_all,12,102,0.0723114973516987
eat_all,12,103,0.5079704071250719
eat_all,12,104,0.06569585303318035
eat_all,12,105,0.626148465964906
eat_all,12,106,0.34362648254164696
eat_all,12,107,0.5980860975891187
eat_all,12,108,0.3196267446085154
eat_all,12,109,0.19740284569229322
eat_all,12,110,0.2368842776080774
eat_all,12,111,0.06081579388703444
eat_all,12,112,0.09877591784725924
eat_all,12,113,0.13626163362535199
eat_all,12,114,0.24731580040116125
eat_all,12,115,0.06438131442788714
eat_all,12,116,0.6418259283508007
eat_all,12,117,0.01420835615394343
eat_all,12,118,0.24440071383208317
eat_all,12,119,0.082121132984204
eat_all,12,120,0.409407305130154
eat_all,12,121,0.6587925064572487
eat_all,12,122,0.09561514644168609
eat_all,12,123,0.3905260473393705
eat_all,12,124,0.3746629217593182
eat_all,12,125,0.14987080141425546
eat_all,12,126,0.3929449503229621
eat_all,12,127,0.10469433445605465
eat_all,12,128,0.680432117672892
eat_all,12,129,0.30184513898613463
eat_all,12,130,0.31414458567114967
eat_all,12,131,0.05777718253310674
eat_all,12,132,0.5701262516006187
eat_all,12,133,0.20212943358911653
eat_all,12,134,0.11486392767229414
eat_all,12,135,0.8065070200141444
eat_all,12,136,0.33691728739484883
eat_all,12,137,0.20704665021025162
eat_all,12,138,0.12200594291003306
eat_all,12,139,0.13595485247582392
eat_all,12,140,0.15391386408116448
eat_all,12,141,0.20375832112174364
eat_all,12,142,0.5011168824767733
