model,layer_idx,k,n,mle_id
sl_eat_all_ssl_all,12,80,20000,10.88404475955101
sl_eat_bio_ssl_all,0,5,2500,8.714928590405085
sl_eat_bio_ssl_all,0,10,2500,11.048796480479078
sl_eat_bio_ssl_all,0,20,2500,3.7696526671060107
sl_eat_bio_ssl_all,0,40,2500,5.485149851141253
sl_eat_bio_ssl_all,0,80,2500,6.317409142026936
sl_eat_bio_ssl_all,0,5,5000,5.612119864978777
sl_eat_bio_ssl_all,0,10,5000,8.471589895028387
sl_eat_bio_ssl_all,0,20,5000,10.578446765769224
sl_eat_bio_ssl_all,0,40,5000,5.085963868089024
sl_eat_bio_ssl_all,0,80,5000,6.676222573048926
sl_eat_bio_ssl_all,0,5,10000,3.890289525599273
sl_eat_bio_ssl_all,0,10,10000,6.170439228442269
sl_eat_bio_ssl_all,0,20,10000,8.868499646684826
sl_eat_bio_ssl_all,0,40,10000,10.781352574403869
sl_eat_bio_ssl_all,0,80,10000,5.246042110750064
sl_eat_bio_ssl_all,0,5,20000,2.200014715628616
sl_eat_bio_ssl_all,0,10,20000,3.489563533952289
sl_eat_bio_ssl_all,0,20,20000,5.810803238359842
sl_eat_bio_ssl_all,0,40,20000,8.410078073500776
sl_eat_bio_ssl_all,0,80,20000,10.40189596697261
sl_eat_bio_ssl_all,4,5,2500,13.577866029915052
sl_eat_bio_ssl_all,4,10,2500,15.89101035869325
sl_eat_bio_ssl_all,4,20,2500,16.651781793783385
sl_eat_bio_ssl_all,4,40,2500,17.857385212960864
sl_eat_bio_ssl_all,4,80,2500,18.387157212202176
sl_eat_bio_ssl_all,4,5,5000,11.197584504805238
sl_eat_bio_ssl_all,4,10,5000,14.328185955679261
sl_eat_bio_ssl_all,4,20,5000,15.5897066949854
sl_eat_bio_ssl_all,4,40,5000,17.029352968846588
sl_eat_bio_ssl_all,4,80,5000,18.017242365463666
sl_eat_bio_ssl_all,4,5,10000,6.964824616510475
sl_eat_bio_ssl_all,4,10,10000,10.482518318963953
sl_eat_bio_ssl_all,4,20,10000,13.600856108344177
sl_eat_bio_ssl_all,4,40,10000,15.15541780583019
sl_eat_bio_ssl_all,4,80,10000,16.852708401442868
sl_eat_bio_ssl_all,4,5,20000,4.0760384328147685
sl_eat_bio_ssl_all,4,10,20000,7.023342924515607
sl_eat_bio_ssl_all,4,20,20000,10.318191471426553
sl_eat_bio_ssl_all,4,40,20000,13.37936437108868
sl_eat_bio_ssl_all,4,80,20000,15.688958885785006
sl_eat_bio_ssl_all,8,5,2500,8.281765070449406
sl_eat_bio_ssl_all,8,10,2500,10.870478124685098
sl_eat_bio_ssl_all,8,20,2500,13.638573682202585
sl_eat_bio_ssl_all,8,40,2500,15.513161913307203
sl_eat_bio_ssl_all,8,80,2500,11.260945983911627
sl_eat_bio_ssl_all,8,5,5000,5.657082713578449
sl_eat_bio_ssl_all,8,10,5000,8.43564061467701
sl_eat_bio_ssl_all,8,20,5000,10.792296108920544
sl_eat_bio_ssl_all,8,40,5000,13.41527260165328
sl_eat_bio_ssl_all,8,80,5000,15.382557549713093
sl_eat_bio_ssl_all,8,5,10000,4.103305653099314
sl_eat_bio_ssl_all,8,10,10000,6.425116349368355
sl_eat_bio_ssl_all,8,20,10000,9.149152240398536
sl_eat_bio_ssl_all,8,40,10000,11.256568905789388
sl_eat_bio_ssl_all,8,80,10000,13.650133166366793
sl_eat_bio_ssl_all,8,5,20000,2.5820513300926438
sl_eat_bio_ssl_all,8,10,20000,4.289437761464137
sl_eat_bio_ssl_all,8,20,20000,6.537474555246145
sl_eat_bio_ssl_all,8,40,20000,9.157996872920881
sl_eat_bio_ssl_all,8,80,20000,11.637589929405438
sl_eat_bio_ssl_all,9,5,2500,7.65122043056667
sl_eat_bio_ssl_all,9,10,2500,10.404684611306832
sl_eat_bio_ssl_all,9,20,2500,12.750763719593241
sl_eat_bio_ssl_all,9,40,2500,15.20818848948542
sl_eat_bio_ssl_all,9,80,2500,16.17768257811222
sl_eat_bio_ssl_all,9,5,5000,5.238586957948134
sl_eat_bio_ssl_all,9,10,5000,7.7214821861978455
sl_eat_bio_ssl_all,9,20,5000,10.403904773554343
sl_eat_bio_ssl_all,9,40,5000,12.748633360202028
sl_eat_bio_ssl_all,9,80,5000,15.219093223317376
sl_eat_bio_ssl_all,9,5,10000,3.3669099630413264
sl_eat_bio_ssl_all,9,10,10000,5.352681165953738
sl_eat_bio_ssl_all,9,20,10000,7.876569191162176
sl_eat_bio_ssl_all,9,40,10000,10.549660129399138
sl_eat_bio_ssl_all,9,80,10000,12.653180642952215
sl_eat_bio_ssl_all,9,5,20000,2.0418223283521932
sl_eat_bio_ssl_all,9,10,20000,3.348163220379309
sl_eat_bio_ssl_all,9,20,20000,5.283688380407382
sl_eat_bio_ssl_all,9,40,20000,7.703726099786283
sl_eat_bio_ssl_all,9,80,20000,10.282796582100694
sl_eat_bio_ssl_all,10,5,2500,6.86772855127732
sl_eat_bio_ssl_all,10,10,2500,9.709334322354797
sl_eat_bio_ssl_all,10,20,2500,12.191213512503673
sl_eat_bio_ssl_all,10,40,2500,14.795461052171923
sl_eat_bio_ssl_all,10,80,2500,15.365967043243051
sl_eat_bio_ssl_all,10,5,5000,4.557712495972093
sl_eat_bio_ssl_all,10,10,5000,7.01541129789146
sl_eat_bio_ssl_all,10,20,5000,9.750238730031912
sl_eat_bio_ssl_all,10,40,5000,12.266504702131636
sl_eat_bio_ssl_all,10,80,5000,14.820376903495866
sl_eat_bio_ssl_all,10,5,10000,3.1528819827364334
sl_eat_bio_ssl_all,10,10,10000,5.0907806667377535
sl_eat_bio_ssl_all,10,20,10000,7.587745352141953
sl_eat_bio_ssl_all,10,40,10000,10.210655898180319
sl_eat_bio_ssl_all,10,80,10000,12.66993833320123
sl_eat_bio_ssl_all,10,5,20000,2.0835029761202
sl_eat_bio_ssl_all,10,10,20000,3.3098514454915913
